eth_price,issuer,net_flow,net_flow_usd,net_tvl,net_tvl_usd,time,tvl,tvl_usd
0,Bitwise,,,-6971.0016943133705,-27795475.055735704,2025-10-20 00:00:00,-5372.641949357988,-21422335.244675107
0,Bitwise,,,-6971.0016943133705,-27762850.767806314,2025-10-21 00:00:00,0.0,0.0
0,Bitwise,,,-6971.0016943133705,-27020648.217412774,2025-10-22 00:00:00,0.0,0.0
0,Bitwise,,,-6971.0016943133705,-26536163.599657994,2025-10-23 00:00:00,0.0,0.0
0,Bitwise,,,-9263.273323723108,-35727889.4132006,2025-10-24 00:00:00,-2292.2716294097377,-8841154.138335593
0,Bitwise,,,-9263.273323723108,-36463022.78417127,2025-10-25 00:00:00,0.0,0.0
0,Bitwise,,,-9263.273323723108,-36646898.759647176,2025-10-26 00:00:00,0.0,0.0
0,Bitwise,,,-9263.273323723108,-38506222.98118488,2025-10-27 00:00:00,0.0,0.0
0,Bitwise,,,-3890.8555335211086,-16038262.14339535,2025-10-28 00:00:00,5372.417790201999,22145321.027924247
0,Bitwise,,,-3890.8555335191086,-15501674.256759487,2025-10-29 00:00:00,2.0000010740000003e-09,7.968264278955622e-06
0,Bitwise,,,-3890.8555335191086,-15200677.672686448,2025-10-30 00:00:00,0.0,0.0
0,Bitwise,,,-12294.642472400668,-46776688.53619447,2025-10-31 00:00:00,-8403.78693888156,-31973383.939146336
0,Bitwise,,,-12294.642472299669,-47337938.964670695,2025-11-01 00:00:00,1.0099999999999999e-07,0.00038887928999999994
0,Bitwise,,,-12294.642472299669,-47663746.99018663,2025-11-02 00:00:00,0.0,0.0
0,Bitwise,,,-14013.74037044206,-54780692.06988394,2025-11-03 00:00:00,-1719.0978981423898,-6720074.020691472
0,Bitwise,,,-15732.842740898912,-56689050.94928919,2025-11-04 00:00:00,-1719.1023704568531,-6194321.234301247
0,Bitwise,,,-15732.842740797912,-51784651.88133633,2025-11-05 00:00:00,1.0099999999999999e-07,0.00033244149999999995
0,Bitwise,,,-15732.842740797912,-53881682.490257286,2025-11-06 00:00:00,0.0,0.0
0,Bitwise,,,-14801.677622136913,-49052463.606209286,2025-11-07 00:00:00,931.165118661,3085862.5799401808
0,Bitwise,,,-14801.677621730913,-50875142.18720375,2025-11-08 00:00:00,4.0599999999999996e-07,0.0013954707199999997
0,Bitwise,,,-14801.677621730913,-50381654.25529525,2025-11-09 00:00:00,0.0,0.0
0,Bitwise,,,-14801.677621730913,-53065494.44166749,2025-11-10 00:00:00,0.0,0.0
